slug,title,author,isbn,status,first_published,date_updated,notes
being-a-green-mother,Being a Green Mother,Piers Anthony,0517699249,read,1991,,
being-and-nothingness-2,Being and Nothingness,Jean-Paul Sartre,0806522763,read,1965,,
being-and-time-2,Being and Time,Martin Heidegger,9781438432762,read,1962,,
bellarion-the-fortunate,Bellarion the Fortunate,Raphael Sabatini,9780755115266,read,2008,,
belle-du-seigneur,Belle du Seigneur,Albert Cohen,,read,1968,,
beloved,Beloved,Toni Morrison,9780307388629,read,1987,,
ben-hur,Ben Hur,Lew Wallace,,read,1904,,
beowulf,Beowulf,Edwin Morgan,,read,,,
beren-and-l-thien,Beren and Lúthien,J.R.R. Tolkien,9781328784865,read,2017,,
bertram-cope-s-year,Bertram Cope's Year,Henry Blake Fuller,,read,2022,,
bertrand-russell-in-praise-of-idleness,Bertrand Russell - In Praise of Idleness,Bertrand Russell,0415325064,read,2004,,
best-ghost-stories-of-algernon-blackwood,Best Ghost Stories of Algernon Blackwood,Algernon Blackwood,9780486317489,read,1973,,
